0,1,2,3,4,5,6,7,8,9,10
-60,-30,-150,-90,230,40,10,-70,-60,60,50
90,-10,-580,390,260,-90,130,-120,-200,-725,995
70,-150,-300,130,70,140,-60,-40,-210,120,330
30,-10,-260,110,300,30,20,60,-130,-350,700
160,-120,-200,0,150,340,20,-130,-300,-120,460
-70,-110,-210,-1142,26,-37,-1,-74,8,101,153
-79,-298,1059,450,140,120,-70,-10,-100,-210,320
110,70,-200,-10,400,-160,110,-50,-200,-80,210
-50,-80,-390,90,400,240,-90,80,-400,-90,300
-110,10,-330,180,150,120,-150,200,-260,-190,160
-150,70,-400,80,230,-150,60,240,-460,-300,570
60,30,-410,0,190,-150,20,-100,-170,70,160
60,-40,-654,-16,15,-53,-26,1,-6,153,173
-348,-24,583,183,120,-227,121,149,-285,20,235
-89,-26,128,17,54,-30,-21,216,-260,53,277
-16,-97,74,58,117,130,-210,250,-386,5,341
-131,-4,-74,172,3,-3,-3,35,-240,104,191
-69,-117,-163,221,128,-43,43,10,-170,10,140
-86,-179,122,-27,180,-20,-144,122,-148,56,114
-90,2,-323,-133,-335,-20,48,9,-1,42,319
-334,-63,597,248,460,-410,50,-70,-118,148,120
-9,-2,-2,100,28,10,-21,-8,11,-54,-27
80,-190,-250,-480,300,10,430,-110,-80,-170,0
140,-320,-330,-230,100,380,440,-60,-240,-220,360
-620,220,190,-440,200,240,430,-50,10,-300,-100
20,-220,-180,-130,-60,340,-30,50,-270,230,-80
-160,360,-40,-140,30,260,-110,220,-210,0,260
10,-110,-90,-70,180,120,-80,20,-190,-100,230
60,80,-370,-60,230,180,-30,410,-20,-600,30
-100,-600,50,-340,110,350,160,260,-340,-80,300
130,-140,-620,-60,70,550,-40,250,-50,-90,60
120,-70,-510,-440,110,250,410,-190,-130,140,560
140,-590,200,-250,-70,410,260,-50,-70,-250,-40
0,140,-190,-370,20,410,290,140,-340,-300,150
-140,-370,-210,-10,110,390,400,-90,-270,-380,300
-40,-560,200,-190,160,170,360,-130,-110,-440,330
-40,-100,-240,-390,340,400,30,40,-70,20,-150
-50,0,40,-710,220,510,370,-30,-200,-70,140
-20,-230,-260,-590,360,330,300,-30,-300,260,410
160,-330,-270,-310,260,150,330,20,-310,-310,130
-40,-50,-380,-50,-70,380,150,120,-90,-670,520
-80,-640,110,-100,70,370,-10,-10,-100,90,210
-80,10,-130,-350,220,330,120,-20,-180,30,150
-100,-60,-150,-240,30,330,100,0,-50,-80,-10
-390,240,-330,-170,290,370,150,-80,-240,-90,390
-20,-240,-340,-120,490,230,-90,-60,-80,-240,60
-190,-100,-30,-120,-230,420,490,-180,-160,-250,240
-280,-150,-50,-90,-60,290,380,-40,-370,-80,290
-300,-80,-340,-230,180,680,140,-100,50,-420,290
-80,-350,-120,-140,160,50,280,170,40,-510,340
-220,200,-290,-150,60,560,220,-190,-230,30,470
-80,-350,-80,-300,110,430,200,-110,-270,-150,80
30,-170,-220,-200,100,510,460,-130,-250,-500,500
-11,3,66,-24,34,-30,-20,16,-4,43,-40
-29,1,-75,26,5,-21,16,18,-16,4,-9
-2,-4,7,42,84,28,-7,18,-11,3,-3
0,-77,1,48,2,-7,29,14,-2,-11,35
1,-4,4,47,17,-5,-30,18,-35,-49,-1
-40,-1,-1,54,13,-22,33,21,-2,-16,2
-5,3,-3,-374,566,-101,-16,22,-17,-14,-3
3,4,1,27,21,-36,-1,18,-23,35,39
-8,-5,13,42,18,-9,-12,-28,-3,-23,-36
-60,2,1,1,35,-5,-4,13,-3,29,42
-5,5,0,4,8,-2,-56,-85,130,33,-27
-2,1,4,46,0,-2,-3,3,1,-57,-45
2,-28,0,32,13,156,1,6,-8,-20,5
2,-4,4,5,17,-21,32,8,-2,-2,27
-1,0,-1,56,1,-10,2,91,-16,-4,-165
-5,4,2,12,6,-5,-1,49,31,-11,-4
0,-2,-78,40,0,-5,37,10,-5,-10,-9
-2,-5,6,22,16,-51,36,4,-17,7,-11
9,10,8,79,18,-9,-23,9,-5,2,-18
-5,-2,5,27,39,40,-8,5,-2,-14,37
1,-4,6,-36,3,-8,-3,-32,-5,-1,-6
-38,43,5,39,4,-6,-13,8,-2,-37,-4
-2,5,-8,19,25,-33,79,8,-1,-4,-80
-2,-4,12,16,10,-15,-6,3,-3,-9,39
2,-1,-4,-72,33,-4,-4,-7,-8,6,-5
-9,5,-5,58,-3,0,-3,0,-6,0,-72
-1,2,-5,23,3,92,-9,-7,-19,4,2
-1,1,-4,31,9,1,-3,2,-7,-90,7
-12,-4,2,32,86,0,-5,47,-5,-21,-5
0,-3,2,18,7,-7,-49,-28,-5,-6,82
-3,6,-4,-18,-35,-10,-9,4,-11,62,-6
-4,-2,3,30,12,-1,19,12,-10,-17,-41
-2,-1,0,-7,2,-1,0,1,5,1,-2
-3,-16,-13,227,40,-58,250,-88,6,80,-214
0,10,-30,770,100,0,190,-110,80,-10,40
-190,80,-10,960,-110,-220,-650,-100,850,180,130
-24,-11,8,207,850,-10,270,-240,80,-180,90
50,-240,120,950,210,-390,180,20,-50,-160,200
-193,165,18,1000,-780,650,-520,670,0,50,-40
